Game ID,Date,Away,Home,Stints,Stint Away Points,Final Away,Stint Home Points,Final Home,Total Stint Minutes,Substitution Errors,Period Teams With Exact Five Direct Clues,Period Teams With Zero Solver Penalty
401856897,2026-05-10,NY,WSH,43,96.0,98.0,93.0,93.0,45.0,0,10,9
401856898,2026-05-10,LV,LA,27,104.0,105.0,78.0,78.0,40.0,1,8,7
401856903,2026-05-13,NY,POR,35,96.0,96.0,97.0,98.0,40.0,0,8,8
401856908,2026-05-15,MIN,DAL,25,89.0,90.0,85.0,86.0,39.63333333333333,0,8,7
401856911,2026-05-15,WSH,IND,45,103.0,104.0,102.0,102.0,45.0,0,10,10
401856913,2026-05-16,CHI,PHX,40,83.0,83.0,89.0,91.0,40.0,0,8,8
401856915,2026-05-17,LV,ATL,36,84.0,85.0,84.0,84.0,39.766666666666666,0,8,8
401856917,2026-05-17,TOR,LA,33,105.0,106.0,96.0,96.0,40.0,0,8,8
401856919,2026-05-19,CON,POR,33,81.0,82.0,82.0,83.0,40.0,0,8,8
401856922,2026-05-21,DAL,CHI,29,99.0,99.0,87.0,89.0,40.0,0,8,8
401856923,2026-05-21,CON,SEA,36,79.0,80.0,78.0,78.0,39.78333333333333,0,8,8
401856928,2026-05-22,GS,IND,40,81.0,82.0,89.0,90.0,39.75,0,8,7
401856929,2026-05-23,CON,SEA,32,59.0,59.0,76.0,77.0,39.7,0,8,8
401856932,2026-05-24,LA,LV,29,100.0,101.0,95.0,95.0,40.0,0,8,8
401856934,2026-05-24,DAL,NY,32,91.0,91.0,75.0,76.0,40.0,0,8,8
401856937,2026-05-26,CON,GS,36,70.0,70.0,95.0,97.0,39.61666666666667,0,8,8
401856939,2026-05-28,TOR,CHI,33,111.0,111.0,103.0,104.0,40.0,0,8,8
401856940,2026-05-28,ATL,MIN,26,81.0,81.0,95.0,96.0,40.0,0,8,7
401856944,2026-05-29,IND,GS,37,87.0,88.0,90.0,90.0,40.0,0,8,8
401856948,2026-05-30,ATL,POR,37,86.0,86.0,65.0,66.0,40.0,0,8,8
401856949,2026-05-30,SEA,TOR,35,72.0,72.0,92.0,93.0,40.0,0,8,8
401856950,2026-05-30,LA,CON,34,80.0,81.0,83.0,84.0,40.0,0,8,7
401856951,2026-05-31,IND,POR,42,84.0,84.0,99.0,100.0,40.0,0,8,8
401856952,2026-05-31,LV,GS,29,90.0,91.0,81.0,81.0,40.0,0,8,8
401856958,2026-06-03,LV,LA,31,79.0,79.0,65.0,67.0,39.53333333333333,0,8,7
401856960,2026-06-04,PHX,SEA,30,71.0,72.0,68.0,68.0,39.86666666666667,0,8,8
401856961,2026-06-04,ATL,IND,33,71.0,71.0,81.0,83.0,39.6,0,8,8
401856969,2026-06-07,IND,NY,33,75.0,75.0,82.0,83.0,40.0,0,8,7
401856971,2026-06-07,POR,LA,29,71.0,72.0,89.0,89.0,39.766666666666666,0,8,8
401856973,2026-06-08,IND,WSH,40,78.0,78.0,75.0,76.0,40.0,0,8,8
401856975,2026-06-09,ATL,CHI,35,81.0,82.0,74.0,75.0,39.78333333333333,0,8,8
401856980,2026-06-11,CHI,IND,43,104.0,106.0,111.0,114.0,45.0,0,10,9
401856987,2026-06-14,MIN,LV,26,97.0,97.0,99.0,100.0,40.0,0,8,8
401857002,2026-06-18,ATL,IND,37,107.0,108.0,99.0,101.0,40.0,0,8,8
401857004,2026-06-19,WSH,NY,32,85.0,86.0,81.0,83.0,40.0,0,8,8
401857005,2026-06-20,MIN,GS,34,80.0,81.0,75.0,75.0,40.0,0,8,7
401857006,2026-06-20,IND,ATL,43,95.0,96.0,112.0,113.0,40.0,0,8,8
401857008,2026-06-21,CHI,DAL,33,92.0,92.0,91.0,93.0,40.0,0,8,8
401857018,2026-06-24,MIN,WSH,40,78.0,78.0,75.0,76.0,40.0,0,8,8
401857022,2026-06-26,DAL,LV,30,84.0,84.0,98.0,99.0,39.78333333333333,0,8,8
401857024,2026-06-26,WSH,CON,25,55.0,57.0,68.0,68.0,40.0,0,8,8
401857028,2026-06-28,LA,IND,37,87.0,87.0,110.0,111.0,40.0,0,8,8
401857030,2026-06-28,MIN,DAL,19,85.0,85.0,76.0,77.0,40.0,0,8,8
401857034,2026-07-02,ATL,WSH,36,75.0,76.0,80.0,81.0,40.0,0,8,8
401857039,2026-07-04,GS,ATL,40,86.0,88.0,83.0,83.0,40.0,0,8,8
401857042,2026-07-05,IND,LV,28,83.0,84.0,68.0,68.0,40.0,0,8,8
401857050,2026-07-09,IND,LA,30,92.0,92.0,105.0,106.0,40.0,0,8,8
401857052,2026-07-10,IND,PHX,27,92.0,92.0,88.0,89.0,39.61666666666667,0,8,8
401857054,2026-07-10,GS,CON,28,79.0,79.0,63.0,64.0,39.71666666666667,0,8,8
401857056,2026-07-11,CHI,LA,29,87.0,87.0,101.0,102.0,40.0,0,8,8
401857060,2026-07-12,NY,TOR,30,91.0,91.0,92.0,93.0,40.0,0,8,7
401857068,2026-07-15,SEA,CHI,31,90.0,90.0,94.0,95.0,40.0,0,8,8
401857073,2026-07-17,SEA,IND,28,107.0,107.0,109.0,110.0,40.0,0,8,8
401857076,2026-07-18,CON,PHX,31,96.0,96.0,82.0,83.0,40.0,0,8,8
401857081,2026-07-19,CHI,ATL,38,91.0,91.0,92.0,93.0,40.0,0,8,7
401857084,2026-07-21,WSH,GS,24,89.0,90.0,82.0,82.0,40.0,0,8,8
401857085,2026-07-21,MIN,SEA,25,105.0,105.0,101.0,102.0,39.6,0,8,8
401857088,2026-07-22,CHI,NY,30,94.0,94.0,94.0,95.0,40.0,0,8,8
