Player,Team,Games,Minutes,Offence_per_40,Defence_per_40,Net_per_40,Reliability,Net_Adjusted_Points,Estimated_Wins_Source
A'ja Wilson,LV,20,641.27,6.477067,0.497527,6.974594,0.681282,111.8149473595,3.727164911983333
Olivia Miles,MIN,20,610.946667,3.295272,3.548599,6.843871,0.670672,104.53100442069892,3.4843668140232973
Flau'jae Johnson,SEA,24,677.595,3.177233,2.127638,5.304871,0.693124,89.86385163112502,2.9954617210375005
Laura Juskaite,TOR,21,461.556667,4.593401,0.473474,5.066875,0.60607,58.46624842764063,1.948874947588021
Natasha Howard,MIN,22,653.266667,3.652155,1.385273,5.037428,0.685293,82.2695949953119,2.7423198331770635
Jackie Young,LV,23,755.021667,3.390063,1.504285,4.894348,0.715646,92.38346964595289,3.0794489881984295
Jordin Canada,ATL,22,682.175,4.221332,0.565149,4.786481,0.694555,81.63044190437499,2.721014730145833
Azzi Fudd,DAL,21,642.376667,3.838592,0.894708,4.7333,0.681656,76.0140369477775,2.5338012315925833
Kaila Charles,GS,23,452.77,1.34722,2.932658,4.279878,0.601472,48.4450090515,1.61483363505
Kayla Thornton,GS,23,582.318333,1.11886,3.102075,4.220935,0.659987,61.448195822533876,2.0482731940844627
Veronica Burton,GS,23,641.995,1.216553,2.886414,4.102967,0.681527,65.852107479125,2.1950702493041665
Aicha Coulibaly,CHI,12,161.581667,5.19815,-1.161766,4.036384,0.350061,16.3051413843032,0.5435047128101067
Olivia Nelson-Ododa,CON,18,359.623333,2.586497,1.248434,3.834931,0.545195,34.47826670112558,1.149275556704186
Paige Bueckers,DAL,21,695.95,3.608164,0.136192,3.744356,0.69878,65.147113955,2.1715704651666665
Allisha Gray,ATL,22,730.246667,2.508587,1.219936,3.728523,0.708808,68.06853733957102,2.2689512446523676
Leonie Fiebich,NY,15,440.916667,1.028481,2.628645,3.657126,0.595096,40.31219516797605,1.343739838932535
Gabriela Jaquez,CHI,17,395.103333,0.872367,2.625889,3.498256,0.568409,34.5543151321812,1.15181050440604
Naz Hillmon,ATL,21,621.04,1.987107,1.474262,3.461369,0.674281,53.741215094,1.7913738364666665
Jacy Sheldon,CHI,21,461.166667,1.66409,1.73186,3.39595,0.605868,39.152473569966254,1.3050824523322084
Breanna Stewart,NY,22,722.365,1.514154,1.839978,3.354132,0.706563,60.5726890545,2.01908963515
Julie Vanloo,NY,5,81.14,3.579312,-0.241518,3.337794,0.212888,6.770715129,0.2256905043
Kiki Rice,TOR,10,266.64,3.151648,0.127152,3.2788,0.470563,21.8564808,0.72854936
Kelsey Plum,LA,12,413.861667,2.913193,0.144564,3.057757,0.579751,31.63721023252298,1.0545736744174325
Julie Allemand,TOR,15,419.35,1.555074,1.267589,2.822663,0.582957,29.59209322625,0.9864031075416669
Natasha Mack,PHX,18,452.236667,-1.123749,3.9218,2.798051,0.601189,31.634531458400424,1.0544843819466807
Aliyah Boston,IND,20,551.483333,1.140846,1.606059,2.746905,0.647674,37.87180812085912,1.2623936040286374
Awak Kuier,DAL,19,336.228333,-0.237012,2.960633,2.723621,0.528471,22.893963713844826,0.7631321237948275
Kelsey Mitchell,IND,22,716.18,3.516479,-0.800137,2.716342,0.704777,48.634745339,1.6211581779666666
Teaira McCowan,MIN,10,68.341667,0.169189,2.485995,2.655184,0.185539,4.5364925187931995,0.15121641729310664
Courtney Vandersloot,CHI,4,65.716667,2.144447,0.502117,2.646564,0.179693,4.3480841270547,0.14493613756849
Myisha Hines-Allen,IND,22,337.773333,0.194362,2.338946,2.533308,0.529613,21.392097166889098,0.7130699055629699
Alyssa Thomas,PHX,21,702.788333,4.644847,-2.119154,2.525693,0.700834,44.37568932849423,1.4791896442831411
Maddy Siegrist,DAL,21,302.975,3.101376,-0.589309,2.512067,0.502467,19.027337483125002,0.6342445827708334
Anastasiia Olairi Kosu,MIN,21,241.91,3.102257,-0.63691,2.465347,0.446403,14.90980231925,0.49699341064166663
Lexie Hull,IND,22,443.505,4.049168,-1.675582,2.373586,0.596506,26.31743147325,0.8772477157750002
Chelsea Gray,LV,23,768.783333,2.946484,-0.577497,2.368987,0.719307,45.53094304234177,1.5176981014113922
Raegan Beers,CON,17,184.905,0.554842,1.801336,2.356178,0.381322,10.89172732725,0.363057577575
Indya Nivar,ATL,19,60.133333,0.928696,1.322101,2.250797,0.166975,3.383698137910025,0.11278993793033416
Lexi Held,PHX,22,367.2,0.380382,1.850308,2.23069,0.55036,20.4777342,0.68259114
Sonia Citron,WSH,17,588.351667,1.324726,0.886003,2.210729,0.662296,32.51715231088108,1.0839050770293694
Shay Ciezki,PHX,2,9.466667,1.491598,0.719042,2.21064,0.03059,0.523184818422,0.0174394939474
Sydney Taylor,CHI,19,349.163333,1.437483,0.64598,2.083463,0.537867,18.186722131554475,0.6062240710518159
Lucy Olsen,WSH,14,124.493333,1.640701,0.358358,1.999059,0.293275,6.221737944341175,0.20739126481137252
