Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
1,2,175,401857063,2026-07-13,Tyasha Harris,4065760,IND,LV,22.516666666666666,-0.8507382079826262,1.201861047851172,0.35112283986854576,48.69572750508685,78.0,29.30427249491315,52.50650523382953,44.0,8.506505233829529,37.81077772874268,67.16940529162282,-6.76970136860284,60.39970392301999,0.8183133816800455,1.5548985498794652,2.373211931559511,2.0220890916909653,18,264.1633333317935,0.46823910333150776
2,23,171,401857058,2026-07-11,Jewell Loyd,2987869,LV,PHX,28.233333333333338,-0.17789849239307537,-3.2537253128303023,-3.431623805223378,60.12037025441748,81.0,20.87962974558252,60.19742781569683,44.0,16.197427815696827,37.07705756127935,52.52947942566141,-0.10917245989989427,52.420306965761505,0.5736798813351482,-3.076267956499469,-2.502588075164321,0.929035730059057,22,617.7016666730246,0.6730963766388262
3,43,132,401857021,2026-06-25,Marina Mabrey,3904576,TOR,LA,32.016666666666666,-0.9463157069513624,-2.4595627054160434,-3.4058784123674055,72.77323874426499,104.0,31.226761255735013,72.8909515215502,68.0,4.890951521550207,36.11771277728522,45.123639076254314,-0.14706437557760266,44.97657470067673,0.0008903347645200337,-1.9569313231705856,-1.9560409884060657,1.4498374239613399,18,515.6516667683919,0.6321959333589072
4,8,11,401856900,2026-05-11,Laeticia Amihere,4432834,GS,PHX,24.37833334604899,0.568013323278928,-0.7138774046374274,-0.1458640813584995,47.33061409448944,73.0,25.66938590551056,53.297072088751385,43.0,10.297072088751385,35.966457994261944,59.01380949012423,-9.789771777370389,49.22403771275384,2.9573069050028686,0.29548589744696174,3.2527928024498305,3.39865688380833,2,40.295000012715654,0.11841196612118887
5,24,171,401857058,2026-07-11,Chelsea Gray,2529122,LV,PHX,27.723333332935965,3.0846220014025434,-0.551617704865652,2.5330042965368915,62.51772806996203,74.0,11.482271930037967,57.45647648910807,33.0,24.45647648910807,35.93874841914604,51.85343044799013,7.302515206338588,59.155945654328725,3.2400167930048474,-0.0806464183112292,3.1593703746936184,0.6263660781567268,24,794.9233333647251,0.7260082136727392
6,4,175,401857063,2026-07-13,Sophie Cunningham,3907781,IND,LV,23.266666666666666,1.8935993766770458,-3.2411226411616054,-1.3475232644845596,50.93691244067664,75.0,24.063087559323357,55.74295950777483,44.0,11.742959507774827,35.806047067098184,61.557674040856476,-8.26254510102839,53.29512893982808,2.928052360589555,-2.9369074416695904,-0.008855081080035188,1.3386681834045244,22,497.88999998569494,0.6240083219423999
7,18,5,401856894,2026-05-09,Natasha Mack,4068042,PHX,LV,25.27999998728434,0.0,0.0,0.0,50.9344729652478,67.0,16.0655270347522,51.27274359350198,33.0,18.27274359350198,34.33827062825418,54.332706717604566,-0.5352383361144462,53.79746838149012,1.2891293991284825,1.7419275230636913,3.0310569221921737,3.0310569221921737,1,25.27999998728434,0.07771765859650939
8,25,82,401856971,2026-06-07,Erica Wheeler,2491214,LA,POR,26.566666666666666,2.3117794379835015,-0.49037075898302324,1.8214086790004782,58.06866625638469,69.0,10.931333743615312,58.013682277855324,35.0,23.013682277855324,33.945016021470636,51.10918347021928,0.0827864168572349,51.19196988707654,3.05565545590148,0.7942522279961958,3.849907683897676,2.0284990048971974,11,313.1116666793823,0.5106927231954297
9,56,140,401857029,2026-06-28,Jade Melbourne,5017726,SEA,ATL,30.56666666666666,-3.480508462581993,0.41401596803010743,-3.066492494551886,60.57582553493481,87.0,26.424174465065192,67.25503195635382,61.0,6.255031956353818,32.67920642141901,42.76450131483405,-8.740510038934364,34.02399127589968,-2.260447421113818,0.9474470126368999,-1.3130004084769182,1.7534920860749676,19,443.1066666682561,0.5962894514927982
10,92,170,401857059,2026-07-11,Bridget Carleton,3906972,POR,ATL,33.95,-0.24882991824136133,-3.246394692308155,-3.495224610549516,66.6255096378921,87.0,20.374490362107906,81.14272683175062,69.0,12.142726831750622,32.51721719385853,38.31189065550342,-17.104232334443054,21.207658321060382,0.3282980557785368,-2.563510877103278,-2.2352128213247413,1.2600117892247749,22,666.9100000381469,0.6897332740501554
11,19,135,401857025,2026-06-26,Sydney Taylor,4594786,CHI,POR,23.25666666030884,0.16584928005355287,0.7001666139767532,0.866015894030306,50.51938000404809,76.0,25.480619995951912,47.92339582362633,42.0,5.923395823626329,31.40401581957824,54.012926750460124,4.464929077479919,58.47785582794003,1.2733459548666852,1.3659542616013347,2.63930021646802,1.773284322437714,16,268.6816666285197,0.4724640908883577
12,22,123,401857012,2026-06-22,Kennedy Burke,3922628,CON,CHI,23.75,-0.026405335899575878,0.21824931624835278,0.1918439803487769,46.85646546020901,64.0,17.14353453979099,50.23273304048769,36.0,14.232733040487688,31.37626758027868,52.8442401352062,-5.686345398364079,47.1578947368421,0.8674841744888788,0.6246674548055845,1.4921516292944634,1.3003076489456866,17,400.5333333492279,0.5717548534547109
13,32,11,401856900,2026-05-11,Janelle Salaun,4790264,GS,PHX,26.03333333333333,0.7993761972143134,0.0019728839908746396,0.801349081205188,50.54213729858094,76.0,25.45786270141906,56.86061135540082,51.0,5.86061135540082,31.31847405681988,48.1205747351906,-9.708282801771908,38.4122919334187,3.094309728807766,0.402703002637982,3.497012731445748,2.69566365024056,2,53.400000000000006,0.1511035653650255
14,11,5,401856894,2026-05-09,DeWanna Bonner,869,PHX,LV,21.733333333333334,0.0,0.0,0.0,43.78860283497572,59.0,15.21139716502428,44.07941566426458,28.0,16.07941566426458,31.29081282928886,57.59045306004084,-0.5352383361144462,57.05521472392638,1.227635991253942,1.5469821561169546,2.7746181473708966,2.7746181473708966,1,21.733333333333334,0.06755076668048073
15,13,1,401856890,2026-05-08,Julie Vanloo,2566110,NY,CON,22.023333326975507,0.0,0.0,0.0,44.046666653951014,69.0,24.953333346048986,44.046666653951014,38.0,6.046666653951014,31.0,56.30392010101274,0.0,56.30392010101274,2.3434527122110027,0.588715462556875,2.932168174767878,2.932168174767878,1,22.023333326975507,0.06839048928362434
16,12,139,401857028,2026-06-28,Monique Billings,3142255,IND,LA,21.93333333333333,-0.4557553197875478,0.5797712287756042,0.12401590898805637,51.35244179727389,72.0,20.64755820272611,47.32292453673861,37.0,10.322924536738611,30.97048273946472,56.48112353701774,7.348663697024823,63.82978723404256,0.6026830336711673,1.178383552184973,1.7810665858561403,1.657050676868084,18,360.47499999205274,0.5457814451665698
17,7,16,401856905,2026-05-14,A'ja Wilson,3149391,LV,CON,20.65,0.47282056749937135,-1.0854316940602458,-0.6126111265608745,46.10640350545947,65.0,18.89359649454053,42.97027659919965,31.0,11.97027659919965,30.86387309374018,59.7847420701989,6.074822094450003,65.85956416464892,2.3204328868122204,-0.1937180618577196,2.126714824954501,2.7393259515153754,3,74.27000001271566,0.19843962917196775
18,53,5,401856894,2026-05-09,Kahleah Copper,2998938,PHX,LV,28.12999998728434,0.0,0.0,0.0,56.67669005480366,72.0,15.323309945196343,57.053096414506,42.0,15.053096414506001,30.376406359702344,43.19432118511689,-0.5352383361144462,42.65908284900243,1.087123057796404,1.2570259817719243,2.344149039568328,2.344149039568328,1,28.12999998728434,0.08572821743935156
19,74,132,401857021,2026-06-25,Julie Allemand,4001679,TOR,LA,29.925000000000004,0.9549727462900709,1.403650142411918,2.358622888701989,68.19488751691682,96.0,27.805112483083178,67.49390656210232,65.0,2.4939065621023246,30.299019045185503,40.499941915034924,0.9369837324170098,41.43692564745196,1.8470233896344577,1.6776322088451634,3.524655598479621,1.1660327097776322,13,344.51666666666665,0.5345349228103747
20,87,10,401856898,2026-05-10,Jackie Young,4065870,LV,LA,30.916666666666668,-0.25014919516548884,-1.5610239783419166,-1.8111731735074055,61.763037274844606,82.0,20.236962725155394,66.83299769589796,57.0,9.832997695897959,30.069960421053352,38.90453100298008,-6.559517525891104,32.34501347708895,1.1641371784731982,-0.6799911237112233,0.4841460547619749,2.2953192282693804,2,56.18666667938233,0.1577450026504169
