Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
1,1,11,401856900,2026-05-11,Janelle Salaun,4790264,GS,PHX,20.13333333333333,0.7077841458550678,-0.046523392162604635,0.6612607536924632,39.56663457859482,61.0,21.433365421405178,43.009223553541204,30.0,13.009223553541204,34.44258897494638,68.42898471843654,-6.8395807449265815,61.589403973509945,2.8267317539344714,1.365516619359219,4.19224837329369,3.5309876196012273,2,32.08333333333333,0.09661229611041404
2,85,170,401857058,2026-07-11,NaLyssa Smith,4398776,LV,PHX,34.13333333333334,0.9771470948139122,1.674957835584596,2.652104930398508,76.54168114505354,89.0,12.458318854946455,70.21526460176686,49.0,21.21526460176686,33.67358345671332,39.461230613335914,7.413769386664089,46.87499999999999,1.1811404339438867,2.02955784556382,3.2106982795077066,0.5585933491091986,23,688.1200000127155,0.6963931506333851
3,100,42,401856931,2026-05-23,Sarah Ashlee Barker,4703794,POR,TOR,35.866666666666674,-1.8094649107953034,-1.255345561837892,-3.0648104726331953,73.58142000056364,96.0,22.41857999943636,83.11562848848976,72.0,11.115628488489762,33.53420848792612,37.39874552556816,-10.632946269062591,26.76579925650557,-0.5471866416043085,-0.7426047710605193,-1.2897914126648278,1.7750190599683675,6,174.74666665395102,0.3680840307644037
4,102,10,401856898,2026-05-10,Jackie Young,4065870,LV,LA,35.9,-0.25078614252899684,-0.740035731201461,-0.9908218737304579,71.54288786650497,96.0,24.45711213349503,76.96385675426194,68.0,8.96385675426194,33.42096888775697,37.237848342904705,-6.040076755160952,31.19777158774373,1.4109402772570883,-0.013510386539101709,1.3974298907179865,2.3882517644484444,2,53.38666667938232,0.15107153640241477
5,15,5,401856894,2026-05-09,DeWanna Bonner,869,PHX,LV,22.683333333333334,0.0,0.0,0.0,45.72514242544627,61.0,15.274857574553728,45.983066942735974,28.0,17.983066942735974,33.2579245172897,58.64733199228162,-0.45482648162769124,58.19250551065393,1.302013176930807,1.8268907212978513,3.1289038982286583,3.1289038982286583,1,22.683333333333334,0.07029595578740767
6,92,140,401857029,2026-06-28,Jade Melbourne,5017726,SEA,ATL,34.083333333333336,-4.785034040162387,-2.3301495512382475,-7.115183591400634,67.1136606041563,98.0,30.886339395843706,73.89073833607608,72.0,1.8907383360760832,32.77707773191979,38.466986091250604,-7.953538658487748,30.513447432762835,-3.3718363299212943,-1.9720510004276026,-5.343887330348897,1.771296261051737,19,482.49166666666673,0.616609335562679
7,115,62,401856951,2026-05-31,Bridget Carleton,3906972,POR,IND,35.05,1.2683239391602208,-1.766319293673187,-0.4979953545129663,73.90570445637482,94.0,20.09429554362518,81.90827776166377,70.0,11.908277761663769,32.00257330528895,36.52219492757655,-9.132751275650723,27.389443651925824,2.230474601044791,-1.0229379273823784,1.2075366736624125,1.7055320281753787,9,308.635000038147,0.5070937425859553
8,58,1,401856890,2026-05-08,Rebekah Gardner,2327695,NY,CON,29.05,0.0,0.0,0.0,58.1,84.0,25.9,58.1,52.0,6.100000000000001,32.0,44.06196213425129,0.0,44.06196213425129,2.1314740285102967,0.5555637960176409,2.6870378245279376,2.6870378245279376,1,29.05,0.08828445524996201
9,9,170,401857058,2026-07-11,Jackie Young,4065870,LV,PHX,19.999999999999996,0.44969638256905187,1.6405082763736696,2.0902046589427217,44.3764866759352,57.0,12.623513324064803,40.80491947565177,22.0,18.804919475651772,31.428432799716575,62.856865599433156,7.143134400566822,70.00000000000001,0.8859393563515076,2.0638794020960107,2.949818758447518,0.8596140995047965,23,565.0549999554952,0.6532012415217134
10,61,5,401856894,2026-05-09,Alyssa Thomas,2529140,PHX,LV,28.56666666666667,0.0,0.0,0.0,57.584786272751586,76.0,18.415213727248414,57.90960818504737,45.0,12.909608185047368,31.324821912295782,43.86206102071754,-0.45482648162769124,43.40723453908985,1.5256869005265095,1.043570264345959,2.5692571648724685,2.5692571648724685,1,28.56666666666667,0.0869432890331744
