Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
1,22,114,401857021,2026-06-25,Marina Mabrey,3904576,TOR,LA,32.016666666666666,-2.168005681357073,-3.2161935607867536,-5.3841992421438265,70.76164552627581,104.0,33.238354473724186,75.12538449064486,68.0,7.125384490644862,40.36373896436905,50.42840890915446,-5.451834208477741,44.97657470067673,-1.0342679950050406,-2.6201995215845777,-3.6544675165896185,1.729731725554208,16,453.7800001144409,0.6020058903732479
2,8,9,401856900,2026-05-11,Laeticia Amihere,4432834,GS,PHX,24.37833334604899,0.595615549916245,-0.7053160012211195,-0.10970045130487449,48.16194871922235,73.0,24.83805128077765,52.71592778503582,43.0,9.715927785035817,34.553979065813465,56.69621228871029,-7.472174575956426,49.22403771275384,2.928738518859796,0.26453751059901986,3.193276029458816,3.3029764807636903,2,40.295000012715654,0.11841196612118887
3,15,5,401856894,2026-05-09,Natasha Mack,4068042,PHX,LV,25.27999998728434,0.0,0.0,0.0,50.9344729652478,67.0,16.0655270347522,51.27274359350198,33.0,18.27274359350198,34.33827062825418,54.332706717604566,-0.5352383361144462,53.79746838149012,1.2891293991284825,1.7419275230636913,3.0310569221921737,3.0310569221921737,1,25.27999998728434,0.07771765859650939
4,36,114,401857021,2026-06-25,Julie Allemand,4001679,TOR,LA,29.925000000000004,-0.10468964849856746,0.8492998693305802,0.7446102208320128,66.51945415074609,96.0,29.480545849253915,69.82364211303664,65.0,4.823642113036641,34.304187962290555,45.85355116095646,-4.416625513504494,41.43692564745196,1.0290081349926563,1.234894973854814,2.2639031088474706,1.5192928880154577,11,281.89166666666665,0.48444011628739597
5,1,12,401856905,2026-05-14,A'ja Wilson,3149391,LV,CON,20.65,-0.35556033543768,-1.6147296526567967,-1.9702899880944766,43.73577904566611,65.0,21.264220954333886,44.03236203032049,31.0,13.032362030320492,34.29658298465438,66.43405905017798,-0.5744948855290664,65.85956416464892,1.7648824029943304,-0.519857381145378,1.2450250218489525,3.215315009943429,2,44.25333334604899,0.12854874320582055
6,4,152,401857063,2026-07-13,Tyasha Harris,4065760,IND,LV,22.516666666666666,-1.4786957562494694,1.7049439934202606,0.22624823717079123,50.63331018671099,78.0,27.366689813289007,50.346793962775486,44.0,6.346793962775486,33.71348377606449,59.89071877317157,0.508985149848426,60.39970392301999,0.15650140074330107,1.9338045074604935,2.0903059082037947,1.8640576710330035,16,251.6133333317935,0.45614077493744876
7,26,70,401856971,2026-06-07,Erica Wheeler,2491214,LA,POR,26.566666666666666,3.3775119658819044,0.16230050962311954,3.5398124755050238,59.65329277658074,69.0,9.346707223419259,58.40558499694458,35.0,23.405584996944583,32.75229222036384,49.313363443458734,1.878606443617823,51.19196988707654,4.179510195585378,1.5640304696470428,5.743540665232421,2.203728189727397,8,238.70833333333334,0.44311238301492767
8,52,122,401857029,2026-06-28,Jade Melbourne,5017726,SEA,ATL,30.56666666666666,-3.1248627687422053,0.235270317215375,-2.88959245152683,61.31454867509143,87.0,25.68545132490857,67.98867355799361,61.0,6.988673557993607,32.67412488290218,42.75785153705847,-8.733860261158805,34.02399127589968,-1.8722608107492689,0.7935298729323561,-1.0787309378169128,1.8108615137099173,17,398.4783333142598,0.5704949091598754
9,43,114,401857021,2026-06-25,Maria Conde,3910470,TOR,LA,28.883333333333336,1.9899343660261128,-4.674769804307147,-2.6848354382810338,64.61964813647337,94.0,29.380351863526627,68.10793848341501,65.0,3.107938483415012,32.48829034694164,44.99243902634733,-4.830869493744925,40.16156953260242,3.112940731889393,-4.249013794351113,-1.1360730624617195,1.5487623758193143,16,375.8666666666667,0.5561254685342276
10,14,105,401857012,2026-06-22,Kennedy Burke,3922628,CON,CHI,23.75,-1.0047540854979553,0.37662005426278106,-0.6281340312351742,45.43484395253634,64.0,18.56515604746366,49.835457802626905,36.0,13.835457802626905,32.400613850090565,54.56945490541568,-7.411560168573581,47.1578947368421,-0.02535859879983966,0.7620065147160103,0.7366479159161706,1.3647819471513447,15,350.3550000190735,0.5387134718865825
